 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2299114592E+05  0.8640813257E+03  0.1708941623E+02  0.2335843744E+04  0.1434752975E+01  0.4291457788E+08  0.1268851166E+05  0.5435032285E+02  0.6073294578E+03  0.7548164047E+02  0.1062410599E+02  0.4279986913E+03  0.2803538135E+06  0.1153265262E+02
   2  0.2206888497E+05  0.8411364364E+03  0.1655574458E+02  0.2591361121E+04  0.2173270272E+01  0.7858257391E+08  0.1260060695E+05  0.9898493246E+02  0.9998394825E+03  0.1146376436E+03  0.1185871352E+02  0.4562971732E+03  0.2295863489E+06  0.1319365234E+02
   3  0.2201215103E+05  0.8642753863E+03  0.1413463323E+02  0.2768946153E+04  0.2833087743E+01  0.1426921413E+09  0.1211944564E+05  0.1504183053E+03  0.1313708492E+04  0.1497501136E+03  0.1347838236E+02  0.4816733486E+03  0.1652294938E+06  0.1463458211E+02
   4  0.2032811016E+05  0.8795454693E+03  0.1549481990E+02  0.2463920454E+04  0.1776268915E+01  0.5928805696E+08  0.1238152818E+05  0.6714267550E+02  0.8575195663E+03  0.9340208015E+02  0.9263360483E+01  0.4409499937E+03  0.4841003012E+06  0.1149134477E+02
   5  0.2462336086E+05  0.8562531598E+03  0.1387542536E+02  0.2429640388E+04  0.1679461211E+01  0.7546587218E+08  0.1205383973E+05  0.7598575059E+02  0.6654801400E+03  0.8859144271E+02  0.1314346592E+02  0.4374732922E+03  0.1452584526E+06  0.1288293935E+02
   6  0.2161983154E+05  0.8637055122E+03  0.2253507705E+02  0.2884201142E+04  0.3335063926E+01  0.9648802405E+08  0.1362135667E+05  0.1786710309E+03  0.1684032261E+04  0.1762947310E+03  0.1270124686E+02  0.5008574409E+03  0.2156070621E+06  0.1485280090E+02
   7  0.2218147386E+05  0.8754209216E+03  0.1388853939E+02  0.2352185651E+04  0.1475327270E+01  0.5677695747E+08  0.1204582943E+05  0.5549669326E+02  0.6384457585E+03  0.7758355736E+02  0.1036411299E+02  0.4295177702E+03  0.3083319284E+06  0.1150225860E+02
   8  0.1973901749E+05  0.8242211002E+03  0.2009575935E+02  0.2746682019E+04  0.2743061357E+01  0.7870523410E+08  0.1322792416E+05  0.1256974018E+03  0.1445525358E+04  0.1447483403E+03  0.1082184261E+02  0.4780585110E+03  0.3458129096E+06  0.1349437145E+02
   9  0.2463030729E+05  0.8794488360E+03  0.1706006727E+02  0.2670987915E+04  0.2452955540E+01  0.9639021770E+08  0.1270361533E+05  0.1307391502E+03  0.1034596342E+04  0.1296513323E+03  0.1428981633E+02  0.4671477342E+03  0.1270255734E+06  0.1441497942E+02
