 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2480337766E+05  0.8630387386E+03  0.1666589136E+02  0.2161442373E+04  0.1051905265E+01  0.3227818241E+08  0.1260778742E+05  0.4245176558E+02  0.5193868770E+03  0.5530114919E+02  0.1052041663E+02  0.4134251169E+03  0.2736137350E+06  0.1114203932E+02
   2  0.2409848839E+05  0.8847248325E+03  0.1615217266E+02  0.2396672105E+04  0.1590144053E+01  0.5907236108E+08  0.1252189241E+05  0.7714659684E+02  0.8532884625E+03  0.8384916919E+02  0.1224018988E+02  0.4340628170E+03  0.1966181689E+06  0.1300429560E+02
   3  0.2386364411E+05  0.8764059012E+03  0.1368234203E+02  0.2560141059E+04  0.2070415756E+01  0.1073612593E+09  0.1202013761E+05  0.1170178473E+03  0.1118616050E+04  0.1094047700E+03  0.1401969234E+02  0.4525372619E+03  0.1381286919E+06  0.1447957776E+02
   4  0.2208214221E+05  0.8706548817E+03  0.1513717388E+02  0.2278822294E+04  0.1299702106E+01  0.4469265339E+08  0.1230873909E+05  0.5236234057E+02  0.7314129766E+03  0.6832517100E+02  0.9681989701E+01  0.4228403357E+03  0.3982991747E+06  0.1139353139E+02
   5  0.2660092586E+05  0.8844461981E+03  0.1333698312E+02  0.2245619507E+04  0.1225594134E+01  0.5680074124E+08  0.1193362992E+05  0.5919129186E+02  0.5652877633E+03  0.6463683015E+02  0.1328982839E+02  0.4201739906E+03  0.1325545115E+06  0.1256175004E+02
   6  0.2342544141E+05  0.8647701477E+03  0.2212346048E+02  0.2669952550E+04  0.2449154360E+01  0.7238438483E+08  0.1355803638E+05  0.1398587941E+03  0.1442015149E+04  0.1294403959E+03  0.1342721047E+02  0.4670212520E+03  0.1716231246E+06  0.1482893352E+02
   7  0.2391569300E+05  0.8609845751E+03  0.1354692810E+02  0.2174114703E+04  0.1076791943E+01  0.4285501616E+08  0.1196979501E+05  0.4321707815E+02  0.5430276386E+03  0.5660152945E+02  0.1065915237E+02  0.4143651771E+03  0.2666908030E+06  0.1130999549E+02
   8  0.2182798185E+05  0.8872967394E+03  0.1976075066E+02  0.2542270844E+04  0.2013210800E+01  0.5910666337E+08  0.1317172855E+05  0.9817393792E+02  0.1239130891E+04  0.1061695437E+03  0.1074521206E+02  0.4501984787E+03  0.3348818770E+06  0.1305691676E+02
   9  0.2636368587E+05  0.8639089694E+03  0.1648772203E+02  0.2471606836E+04  0.1798537658E+01  0.7230027530E+08  0.1259466224E+05  0.1023603490E+03  0.8844838800E+03  0.9505016206E+02  0.1530236744E+02  0.4421601467E+03  0.9697606827E+05  0.1447236005E+02
