 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2275410164E+05  0.8745648135E+03  0.1714601149E+02  0.2352256223E+04  0.1475504333E+01  0.4388516853E+08  0.1269926544E+05  0.1026895693E+03  0.6746261512E+03  0.7759638672E+02  0.1081469927E+02  0.4295270421E+03  0.2621173981E+06  0.1129318720E+02
   2  0.2183386650E+05  0.8510608107E+03  0.1661372917E+02  0.2609119331E+04  0.2233457817E+01  0.8036671049E+08  0.1261186987E+05  0.1884583050E+03  0.1109200667E+04  0.1178287080E+03  0.1236318956E+02  0.4586033913E+03  0.2019447030E+06  0.1298125718E+02
   3  0.2179732848E+05  0.8766664023E+03  0.1417758446E+02  0.2787645585E+04  0.2910396874E+01  0.1459250563E+09  0.1212844189E+05  0.2856293230E+03  0.1458479148E+04  0.1538529716E+03  0.1506673165E+02  0.4846385300E+03  0.1185882721E+06  0.1479661950E+02
   4  0.1979312506E+05  0.8298471279E+03  0.1555010549E+02  0.2481061582E+04  0.1826216070E+01  0.6067737189E+08  0.1239284875E+05  0.1274078987E+03  0.9522779217E+03  0.9604653302E+02  0.1009511019E+02  0.4428611694E+03  0.3649535398E+06  0.1161449322E+02
   5  0.2439460243E+05  0.8672535327E+03  0.1397279494E+02  0.2446118394E+04  0.1725487740E+01  0.7716410856E+08  0.1207481017E+05  0.1442581186E+03  0.7386713389E+03  0.9103187293E+02  0.1380415625E+02  0.4392370184E+03  0.1252138640E+06  0.1274243753E+02
   6  0.2137592227E+05  0.8731343543E+03  0.2258247106E+02  0.2903536721E+04  0.3425399865E+01  0.9872510112E+08  0.1362863991E+05  0.3399298424E+03  0.1866358135E+04  0.1810885314E+03  0.1422012269E+02  0.5043219741E+03  0.1538323409E+06  0.1501278718E+02
   7  0.2195298811E+05  0.8868612690E+03  0.1395860673E+02  0.2368281122E+04  0.1516124958E+01  0.5803102561E+08  0.1206099700E+05  0.1050362752E+03  0.7088857254E+03  0.7974373573E+02  0.1068550970E+02  0.4310789553E+03  0.2770321021E+06  0.1133466017E+02
   8  0.1949904246E+05  0.8332893828E+03  0.2016876594E+02  0.2765449040E+04  0.2818802346E+01  0.8050362952E+08  0.1323974947E+05  0.2395947040E+03  0.1605301434E+04  0.1486925185E+03  0.1115319638E+02  0.4809090128E+03  0.3143812514E+06  0.1318207274E+02
   9  0.2439570439E+05  0.8903167023E+03  0.1716841556E+02  0.2689387037E+04  0.2521245949E+01  0.9862518316E+08  0.1272366325E+05  0.2479623466E+03  0.1148822026E+04  0.1332752671E+03  0.1593192284E+02  0.4697667925E+03  0.9204197535E+05  0.1457472861E+02
