 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2197338278E+05  0.8358465969E+03  0.1721804207E+02  0.2455040708E+04  0.1750800956E+01  0.5174838246E+08  0.1271242873E+05  0.1015761654E+03  0.1052030495E+04  0.9213278062E+02  0.1126006447E+02  0.4400123624E+03  0.2276574356E+06  0.1151869591E+02
   2  0.2138082579E+05  0.8781562895E+03  0.1668854379E+02  0.2723006705E+04  0.2649700744E+01  0.9462807116E+08  0.1262594782E+05  0.1868057678E+03  0.1735148462E+04  0.1398096328E+03  0.1282370409E+02  0.4744584554E+03  0.1767017652E+06  0.1324356601E+02
   3  0.2112891503E+05  0.8610012408E+03  0.1425674967E+02  0.2909941680E+04  0.3455724604E+01  0.1718323679E+09  0.1214581289E+05  0.2841822586E+03  0.2286650534E+04  0.1827319803E+03  0.1493870988E+02  0.5054694621E+03  0.1187677144E+06  0.1480403680E+02
   4  0.1934339988E+05  0.8566023848E+03  0.1562940799E+02  0.2589139848E+04  0.2165828277E+01  0.7142028254E+08  0.1240849315E+05  0.1259700621E+03  0.1482975903E+04  0.1139798074E+03  0.9857967686E+01  0.4557966410E+03  0.3850406077E+06  0.1147162023E+02
   5  0.2368135957E+05  0.8453635314E+03  0.1411317759E+02  0.2553873824E+04  0.2050216536E+01  0.9088071497E+08  0.1210573346E+05  0.1430971363E+03  0.1156024747E+04  0.1081895981E+03  0.1433493027E+02  0.4516132673E+03  0.1090865578E+06  0.1300123828E+02
   6  0.2063440495E+05  0.8369963638E+03  0.2266571875E+02  0.3029016142E+04  0.4057031086E+01  0.1163911445E+09  0.1364111305E+05  0.3375040398E+03  0.2921462083E+04  0.2145055465E+03  0.1367260777E+02  0.5284255753E+03  0.1693931270E+06  0.1480388155E+02
   7  0.2121002696E+05  0.8576964931E+03  0.1403647616E+02  0.2472560503E+04  0.1801315120E+01  0.6834820156E+08  0.1207832064E+05  0.1039506031E+03  0.1106783015E+04  0.9475622547E+02  0.1112638231E+02  0.4419077775E+03  0.2405235401E+06  0.1156112977E+02
   8  0.1903715204E+05  0.8588940175E+03  0.2026871807E+02  0.2886277916E+04  0.3344679975E+01  0.9481571792E+08  0.1325644926E+05  0.2376001545E+03  0.2509437597E+04  0.1765300286E+03  0.1155688605E+02  0.5009886082E+03  0.2758936098E+06  0.1344067759E+02
   9  0.2368305321E+05  0.8653930103E+03  0.1731763960E+02  0.2806406518E+04  0.2989539569E+01  0.1162602878E+09  0.1275170666E+05  0.2463970474E+03  0.1797339437E+04  0.1580644501E+03  0.1564138139E+02  0.4876473953E+03  0.9497519422E+05  0.1450624678E+02
