 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2432609162E+05  0.8789766025E+03  0.1686636971E+02  0.2216926745E+04  0.1164145746E+01  0.3538585213E+08  0.1264637482E+05  0.3207812752E+02  0.2923433243E+03  0.6122943340E+02  0.1186887845E+02  0.4177071708E+03  0.1776255136E+06  0.1138537150E+02
   2  0.2334537404E+05  0.8463705019E+03  0.1633553973E+02  0.2458806030E+04  0.1761566583E+01  0.6483355040E+08  0.1255798385E+05  0.5483841633E+02  0.4796877048E+03  0.9292221081E+02  0.1297843647E+02  0.4406164039E+03  0.1547305461E+06  0.1295595895E+02
   3  0.2317875045E+05  0.8516478575E+03  0.1386795265E+02  0.2626733577E+04  0.2294383904E+01  0.1178090036E+09  0.1206102543E+05  0.7942967085E+02  0.6278019179E+03  0.1212504883E+03  0.1495551888E+02  0.4610935967E+03  0.1059191038E+06  0.1453381722E+02
   4  0.2161908298E+05  0.8880016199E+03  0.1527414074E+02  0.2337635264E+04  0.1439159686E+01  0.4896157122E+08  0.1233659487E+05  0.3921182287E+02  0.4115193555E+03  0.7569087879E+02  0.1029931681E+02  0.4281606763E+03  0.3124846902E+06  0.1131504978E+02
   5  0.2586864663E+05  0.8529652976E+03  0.1353356678E+02  0.2304238655E+04  0.1358663212E+01  0.6231349584E+08  0.1197774980E+05  0.4259278648E+02  0.3181446272E+03  0.7165906682E+02  0.1427548167E+02  0.4252462672E+03  0.9985012583E+05  0.1257757971E+02
   6  0.2293109832E+05  0.8785076042E+03  0.2231567775E+02  0.2737888011E+04  0.2708100047E+01  0.7947533808E+08  0.1358780960E+05  0.9388294150E+02  0.8079906071E+03  0.1431159314E+03  0.1390736165E+02  0.4768991075E+03  0.1447385534E+06  0.1467964691E+02
   7  0.2345647393E+05  0.8782332520E+03  0.1368249526E+02  0.2230589274E+04  0.1193109826E+01  0.4693101754E+08  0.1200045121E+05  0.3268020507E+02  0.3063409758E+03  0.6274489955E+02  0.1143990600E+02  0.4188026307E+03  0.2029648280E+06  0.1128178877E+02
   8  0.2104850681E+05  0.8396624631E+03  0.1987092050E+02  0.2607432095E+04  0.2227686191E+01  0.6489437171E+08  0.1319041730E+05  0.6886380326E+02  0.6946433942E+03  0.1175216856E+03  0.1197052517E+02  0.4583982188E+03  0.2261488574E+06  0.1334612482E+02
   9  0.2588960648E+05  0.8796019150E+03  0.1670222651E+02  0.2535338293E+04  0.1991341059E+01  0.7939325337E+08  0.1263570012E+05  0.6961664120E+02  0.4959207631E+03  0.1052431518E+03  0.1618829566E+02  0.4495226385E+03  0.7610296640E+05  0.1445896232E+02
