 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2215758552E+05  0.8320397403E+03  0.1714847696E+02  0.2368813026E+04  0.1517487474E+01  0.4501581697E+08  0.1269981337E+05  0.5779454661E+02  0.6943388246E+03  0.7981930130E+02  0.1011033234E+02  0.4311335673E+03  0.3363897759E+06  0.1142013440E+02
   2  0.2156389488E+05  0.8734751323E+03  0.1663068101E+02  0.2626726621E+04  0.2294359599E+01  0.8229631613E+08  0.1261522708E+05  0.1053362673E+03  0.1141227113E+04  0.1210578504E+03  0.1140230242E+02  0.4609371287E+03  0.2665434198E+06  0.1312723522E+02
   3  0.2129618121E+05  0.8552708114E+03  0.1421104108E+02  0.2807121229E+04  0.2992586133E+01  0.1494233237E+09  0.1213583198E+05  0.1602364098E+03  0.1498930486E+04  0.1581796829E+03  0.1315947725E+02  0.4877654927E+03  0.1827499231E+06  0.1466820825E+02
   4  0.1952236263E+05  0.8519232553E+03  0.1555552486E+02  0.2498327429E+04  0.1877584145E+01  0.6214252290E+08  0.1239405049E+05  0.7148164817E+02  0.9787394024E+03  0.9876646279E+02  0.9404374544E+01  0.4448268932E+03  0.4736297504E+06  0.1174057813E+02
   5  0.2413021936E+05  0.8907570674E+03  0.1403563436E+02  0.2463530709E+04  0.1775145296E+01  0.7900034966E+08  0.1208871492E+05  0.8099565109E+02  0.7603748186E+03  0.9363470424E+02  0.1276952276E+02  0.4411181138E+03  0.1632892167E+06  0.1288665869E+02
   6  0.2082644111E+05  0.8341367783E+03  0.2258204545E+02  0.2922501081E+04  0.3515772026E+01  0.1011699576E+09  0.1362863081E+05  0.1903084327E+03  0.1914234149E+04  0.1858844871E+03  0.1204356467E+02  0.5077880650E+03  0.2611502075E+06  0.1466635358E+02
   7  0.2138723547E+05  0.8528956905E+03  0.1398306211E+02  0.2384865217E+04  0.1559040304E+01  0.5947971452E+08  0.1206650765E+05  0.5917333694E+02  0.7301259336E+03  0.8197364685E+02  0.9986193576E+01  0.4326905370E+03  0.3559398103E+06  0.1146213055E+02
   8  0.1922449727E+05  0.8549205271E+03  0.2020729495E+02  0.2784692184E+04  0.2898082657E+01  0.8244902582E+08  0.1324621566E+05  0.1336500780E+03  0.1650609892E+04  0.1528957557E+03  0.1025992756E+02  0.4839467393E+03  0.4191644906E+06  0.1332583737E+02
   9  0.2386695367E+05  0.8611199433E+03  0.1723789964E+02  0.2707450992E+04  0.2589669853E+01  0.1010578300E+09  0.1273676240E+05  0.1391855907E+03  0.1179364004E+04  0.1369064695E+03  0.1454177781E+02  0.4723911031E+03  0.1231759096E+06  0.1473400161E+02
