 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2262710835E+05  0.8868617975E+03  0.1714006651E+02  0.2432290833E+04  0.1686801571E+01  0.5008902800E+08  0.1269818324E+05  0.3114010985E+02  0.9487549179E+03  0.8874296883E+02  0.9857736125E+01  0.4375632541E+03  0.3733732994E+06  0.1134958188E+02
   2  0.2170901857E+05  0.8633033862E+03  0.1661667021E+02  0.2697486564E+04  0.2551756004E+01  0.9169964764E+08  0.1261247935E+05  0.5337380276E+02  0.1563881948E+04  0.1346699390E+03  0.1100955699E+02  0.4707450733E+03  0.3038293627E+06  0.1304555792E+02
   3  0.2143026574E+05  0.8442767302E+03  0.1418859103E+02  0.2882201526E+04  0.3325824740E+01  0.1665233792E+09  0.1213089295E+05  0.7756487366E+02  0.2059774927E+04  0.1758361540E+03  0.1311592595E+02  0.5004872901E+03  0.1866387736E+06  0.1486726640E+02
   4  0.1966707823E+05  0.8418713166E+03  0.1554601038E+02  0.2565383166E+04  0.2087425318E+01  0.6924506381E+08  0.1239206530E+05  0.3811036276E+02  0.1338866472E+04  0.1098269298E+03  0.9147978060E+01  0.4527962246E+03  0.5310923084E+06  0.1167043739E+02
   5  0.2427203176E+05  0.8799502025E+03  0.1399504604E+02  0.2529231313E+04  0.1972223751E+01  0.8803744584E+08  0.1207975391E+05  0.4152544788E+02  0.1041351003E+04  0.1040531842E+03  0.1235627908E+02  0.4486247458E+03  0.1841529682E+06  0.1280602614E+02
   6  0.2125038615E+05  0.8852410379E+03  0.2257803825E+02  0.3001544953E+04  0.3911842787E+01  0.1126434406E+09  0.1362798906E+05  0.9131256784E+02  0.2635117881E+04  0.2068770502E+03  0.1232796943E+02  0.5229140560E+03  0.2460250207E+06  0.1508254443E+02
   7  0.2153134940E+05  0.8427480804E+03  0.1396310981E+02  0.2448654063E+04  0.1732653501E+01  0.6628555090E+08  0.1206204879E+05  0.3182890994E+02  0.9971829777E+03  0.9116771615E+02  0.9732800450E+01  0.4393151120E+03  0.3957603243E+06  0.1139128208E+02
   8  0.1937232240E+05  0.8451891110E+03  0.2017995987E+02  0.2859368302E+04  0.3221679831E+01  0.9186184966E+08  0.1324163951E+05  0.6695050825E+02  0.2263434931E+04  0.1700066554E+03  0.9887797413E+01  0.4962755303E+03  0.4825831038E+06  0.1324535057E+02
   9  0.2401209316E+05  0.8510337353E+03  0.1719430637E+02  0.2780395904E+04  0.2880239121E+01  0.1125876472E+09  0.1272855642E+05  0.6775889434E+02  0.1622392346E+04  0.1523053791E+03  0.1392127105E+02  0.4834865188E+03  0.1427842832E+06  0.1464453181E+02
