 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2397764426E+05  0.8917921137E+03  0.1695900588E+02  0.2294911401E+04  0.1336797665E+01  0.4033640022E+08  0.1266412851E+05  0.6274690031E+02  0.5111011647E+03  0.7029973796E+02  0.1166749573E+02  0.4242536723E+03  0.1832562471E+06  0.1121391010E+02
   2  0.2299920455E+05  0.8578670790E+03  0.1643715417E+02  0.2545470136E+04  0.2023363955E+01  0.7392644138E+08  0.1257788222E+05  0.1141898140E+03  0.8402631503E+03  0.1067338001E+03  0.1372734881E+02  0.4505849771E+03  0.1271948770E+06  0.1316428897E+02
   3  0.2286322483E+05  0.8661992020E+03  0.1400178994E+02  0.2719389466E+04  0.2635649337E+01  0.1343425754E+09  0.1209011826E+05  0.1732364824E+03  0.1103605173E+04  0.1393047649E+03  0.1535296580E+02  0.4741243781E+03  0.9637869854E+05  0.1449376106E+02
   4  0.2097347605E+05  0.8404419383E+03  0.1537202495E+02  0.2420113613E+04  0.1653274636E+01  0.5584788145E+08  0.1235681127E+05  0.7748490490E+02  0.7206929452E+03  0.8694347910E+02  0.1079450922E+02  0.4362822904E+03  0.2625033463E+06  0.1149982849E+02
   5  0.2553246458E+05  0.8657121885E+03  0.1366830207E+02  0.2385771606E+04  0.1561411763E+01  0.7103453289E+08  0.1200753372E+05  0.8756486025E+02  0.5586055725E+03  0.8236008316E+02  0.1506082993E+02  0.4329698188E+03  0.8305300527E+05  0.1278737359E+02
   6  0.2256982735E+05  0.8895724429E+03  0.2239014744E+02  0.2834236957E+04  0.3109901339E+01  0.9069573215E+08  0.1359933039E+05  0.2065041155E+03  0.1418043193E+04  0.1644082531E+03  0.1488615324E+02  0.4922669501E+03  0.1150186733E+06  0.1491986918E+02
   7  0.2282404681E+05  0.8359734117E+03  0.1377957722E+02  0.2309630828E+04  0.1371425611E+01  0.5350933440E+08  0.1202160719E+05  0.6398380640E+02  0.5354873653E+03  0.7212081189E+02  0.1197871860E+02  0.4255697828E+03  0.1714447573E+06  0.1146056733E+02
   8  0.2069472856E+05  0.8501447760E+03  0.1999286005E+02  0.2698925917E+04  0.2557206736E+01  0.7400882722E+08  0.1321057245E+05  0.1450043380E+03  0.1218686854E+04  0.1348942783E+03  0.1187480079E+02  0.4709368701E+03  0.2267846438E+06  0.1311871572E+02
   9  0.2554277096E+05  0.8922149624E+03  0.1684591573E+02  0.2624039758E+04  0.2284986448E+01  0.9060803949E+08  0.1266284458E+05  0.1508433532E+03  0.8709643606E+03  0.1207801118E+03  0.1644546226E+02  0.4607364039E+03  0.7175425209E+05  0.1435026497E+02
