 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2147548823E+05  0.8407853423E+03  0.1744033533E+02  0.2493807909E+04  0.1864034630E+01  0.5439721564E+08  0.1275414280E+05  0.5625306153E+02  0.4029265308E+03  0.9806956871E+02  0.1206535995E+02  0.4443016379E+03  0.1687940489E+06  0.1142493080E+02
   2  0.2088201441E+05  0.8856523972E+03  0.1687150303E+02  0.2766108253E+04  0.2821491032E+01  0.9957775078E+08  0.1266108612E+05  0.9634488479E+02  0.6619894712E+03  0.1489207662E+03  0.1360641197E+02  0.4810411667E+03  0.1334263437E+06  0.1321279130E+02
   3  0.2067282205E+05  0.8714611547E+03  0.1440988961E+02  0.2956938848E+04  0.3684438883E+01  0.1809176903E+09  0.1217855669E+05  0.1399994183E+03  0.8692523552E+03  0.1948311192E+03  0.1582429229E+02  0.5142109801E+03  0.8863794697E+05  0.1488929474E+02
   4  0.1885868790E+05  0.8643132216E+03  0.1582820564E+02  0.2630673968E+04  0.2308182231E+01  0.7503320773E+08  0.1244866047E+05  0.6889244389E+02  0.5687819608E+03  0.1214514935E+03  0.1125496752E+02  0.4611948664E+03  0.2348332158E+06  0.1174840295E+02
   5  0.2319947866E+05  0.8521303613E+03  0.1430806429E+02  0.2595177479E+04  0.2186101085E+01  0.9558639359E+08  0.1214767072E+05  0.7512197653E+02  0.4418600353E+03  0.1153597356E+03  0.1543530289E+02  0.4567936266E+03  0.7817416179E+05  0.1304275381E+02
   6  0.2010948549E+05  0.8387845673E+03  0.2285584066E+02  0.3077363882E+04  0.4322324752E+01  0.1226879604E+09  0.1367004087E+05  0.1642829514E+03  0.1106127051E+04  0.2285878464E+03  0.1506094459E+02  0.5385999092E+03  0.1120501346E+06  0.1518467191E+02
   7  0.2073083896E+05  0.8656256936E+03  0.1423903988E+02  0.2511728174E+04  0.1918194022E+01  0.7176981212E+08  0.1212207250E+05  0.5761875482E+02  0.4247238908E+03  0.1008938520E+03  0.1206404025E+02  0.4463421569E+03  0.1720266344E+06  0.1154601450E+02
   8  0.1852626295E+05  0.8643388499E+03  0.2045762827E+02  0.2931726010E+04  0.3560373049E+01  0.9981268877E+08  0.1328737486E+05  0.1206510599E+03  0.9531864854E+03  0.1878784715E+03  0.1204928101E+02  0.5091877552E+03  0.2192046986E+06  0.1324903117E+02
   9  0.2318080048E+05  0.8714371258E+03  0.1758202923E+02  0.2850873214E+04  0.3183564100E+01  0.1225403143E+09  0.1280045814E+05  0.1221565486E+03  0.6821819468E+03  0.1683641601E+03  0.1646968510E+02  0.4950888423E+03  0.7211330721E+05  0.1451084518E+02
