 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2521679238E+05  0.8408464165E+03  0.1650272479E+02  0.2162493291E+04  0.1053952553E+01  0.3255743835E+08  0.1257667825E+05  0.2206297122E+02  0.6648946686E+03  0.5543046996E+02  0.1076825907E+02  0.4135153702E+03  0.2575344391E+06  0.1128676574E+02
   2  0.2450287060E+05  0.8614987028E+03  0.1601478214E+02  0.2398238289E+04  0.1594304657E+01  0.5959653879E+08  0.1249513279E+05  0.3772537308E+02  0.1095049358E+04  0.8408891788E+02  0.1166834056E+02  0.4342312278E+03  0.2307343446E+06  0.1277679111E+02
   3  0.2423319748E+05  0.8503711775E+03  0.1356657877E+02  0.2561211682E+04  0.2073881230E+01  0.1083412102E+09  0.1199405241E+05  0.5462961442E+02  0.1439238124E+04  0.1096007255E+03  0.1374974786E+02  0.4526725256E+03  0.1469908174E+06  0.1449024400E+02
   4  0.2248291977E+05  0.8475126888E+03  0.1506531951E+02  0.2279889815E+04  0.1302139215E+01  0.4510847018E+08  0.1229367183E+05  0.2693828912E+02  0.9352682806E+03  0.6847688934E+02  0.9839622302E+01  0.4229460193E+03  0.3842711571E+06  0.1150825863E+02
   5  0.2699599553E+05  0.8601871954E+03  0.1320831842E+02  0.2246176443E+04  0.1226810424E+01  0.5731797562E+08  0.1190403948E+05  0.2927655411E+02  0.7249801079E+03  0.6469260345E+02  0.1324290324E+02  0.4202105352E+03  0.1346901555E+06  0.1259836939E+02
   6  0.2384492290E+05  0.8438184704E+03  0.2193068137E+02  0.2671405715E+04  0.2454490682E+01  0.7298429386E+08  0.1352799884E+05  0.6475030386E+02  0.1861506727E+04  0.1297107686E+03  0.1265102034E+02  0.4672091394E+03  0.2081479451E+06  0.1457140702E+02
   7  0.2461383543E+05  0.8912608268E+03  0.1344071297E+02  0.2174909030E+04  0.1078366456E+01  0.4322180567E+08  0.1194558952E+05  0.2244222259E+02  0.6936100734E+03  0.5669973179E+02  0.1025661651E+02  0.4144328604E+03  0.3053106859E+06  0.1111246062E+02
   8  0.2223901620E+05  0.8648103204E+03  0.1965821864E+02  0.2543831715E+04  0.2018159538E+01  0.5962306955E+08  0.1315427539E+05  0.4746373940E+02  0.1591515353E+04  0.1064661866E+03  0.1090425397E+02  0.4504067134E+03  0.3236184242E+06  0.1325382911E+02
   9  0.2703191230E+05  0.8903683917E+03  0.1636499555E+02  0.2472740710E+04  0.1801840316E+01  0.7285253221E+08  0.1257071669E+05  0.4802344694E+02  0.1139046022E+04  0.9524052665E+02  0.1446181151E+02  0.4422922065E+03  0.1159155857E+06  0.1421742100E+02
