 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2029569411E+05  0.8261213087E+03  0.1759728554E+02  0.2552753599E+04  0.2046621694E+01  0.5894363046E+08  0.1278297525E+05  0.1272932001E+03  0.5055090074E+03  0.1076722501E+03  0.1051405397E+02  0.4512394880E+03  0.2972078432E+06  0.1146576115E+02
   2  0.1975723346E+05  0.8807801877E+03  0.1702669162E+02  0.2831409022E+04  0.3097507960E+01  0.1077891049E+09  0.1269034813E+05  0.2343232244E+03  0.8304745481E+03  0.1634320842E+03  0.1225944544E+02  0.4915254622E+03  0.2145665282E+06  0.1333560057E+02
   3  0.1964053101E+05  0.8844969284E+03  0.1454190634E+02  0.3027265573E+04  0.4047660444E+01  0.1956271408E+09  0.1220627476E+05  0.3570943531E+03  0.1090683349E+04  0.2140185903E+03  0.1414183287E+02  0.5280737539E+03  0.1487043490E+06  0.1484002477E+02
   4  0.1771443458E+05  0.8565784060E+03  0.1598365715E+02  0.2693267608E+04  0.2535829301E+01  0.8121146090E+08  0.1247939433E+05  0.1580433003E+03  0.7095041815E+03  0.1334332330E+03  0.9911184240E+01  0.4698515644E+03  0.3964274100E+06  0.1177883478E+02
   5  0.2209921680E+05  0.8560084128E+03  0.1446167415E+02  0.2657052504E+04  0.2402163310E+01  0.1033785502E+09  0.1218054110E+05  0.1800862065E+03  0.5553376412E+03  0.1267466299E+03  0.1335172421E+02  0.4650205544E+03  0.1437896567E+06  0.1293991841E+02
   6  0.1896354165E+05  0.8261565893E+03  0.2302438258E+02  0.3148570236E+04  0.4736478029E+01  0.1329429195E+09  0.1369531426E+05  0.4224708824E+03  0.1384592296E+04  0.2504837763E+03  0.1371868344E+02  0.5544195198E+03  0.1765554822E+06  0.1522777386E+02
   7  0.1960078741E+05  0.8621804466E+03  0.1438957367E+02  0.2572375062E+04  0.2110275452E+01  0.7761397639E+08  0.1215434022E+05  0.1307362209E+03  0.5342034233E+03  0.1110089687E+03  0.1067692822E+02  0.4536502370E+03  0.2890326416E+06  0.1166934401E+02
   8  0.1737061904E+05  0.8506827671E+03  0.2059437787E+02  0.2999798100E+04  0.3902744204E+01  0.1081198131E+09  0.1330985439E+05  0.2970281377E+03  0.1187403259E+04  0.2059337354E+03  0.1152456061E+02  0.5222325196E+03  0.2906512101E+06  0.1372913344E+02
   9  0.2207638438E+05  0.8721423746E+03  0.1772761684E+02  0.2917905161E+04  0.3493708553E+01  0.1327465715E+09  0.1282711289E+05  0.3088628453E+03  0.8552621602E+03  0.1847294284E+03  0.1515307034E+02  0.5069126001E+03  0.1105325300E+06  0.1468923332E+02
