 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2325620139E+05  0.8526865974E+03  0.1701120378E+02  0.2319057000E+04  0.1393951545E+01  0.4185753614E+08  0.1267362436E+05  0.2020990181E+02  0.5561773949E+03  0.7332594526E+02  0.1055667704E+02  0.4264407462E+03  0.2945343855E+06  0.1140136028E+02
   2  0.2260933201E+05  0.8850439849E+03  0.1648121767E+02  0.2571835001E+04  0.2108503831E+01  0.7658524295E+08  0.1258609983E+05  0.3239516585E+02  0.9144463294E+03  0.1112479767E+03  0.1160907596E+02  0.4538474231E+03  0.2530844668E+06  0.1303826850E+02
   3  0.2225188554E+05  0.8508085638E+03  0.1407893665E+02  0.2747751854E+04  0.2747337556E+01  0.1391721637E+09  0.1210717955E+05  0.4435457737E+02  0.1200313516E+04  0.1452320861E+03  0.1353946356E+02  0.4784081195E+03  0.1670482941E+06  0.1474136804E+02
   4  0.2058530929E+05  0.8672580764E+03  0.1541933106E+02  0.2445554396E+04  0.1723896918E+01  0.5784857015E+08  0.1236604247E+05  0.2450941096E+02  0.7831733020E+03  0.9068285870E+02  0.9731662618E+01  0.4389847819E+03  0.4287200994E+06  0.1168720178E+02
   5  0.2515086269E+05  0.8942514569E+03  0.1378534049E+02  0.2410790193E+04  0.1627944702E+01  0.7356937618E+08  0.1203377695E+05  0.2553753721E+02  0.6078519886E+03  0.8587950355E+02  0.1291541378E+02  0.4355133434E+03  0.1571179127E+06  0.1272807745E+02
   6  0.2189227363E+05  0.8534112510E+03  0.2246123038E+02  0.2862098962E+04  0.3234004125E+01  0.9405436500E+08  0.1361000825E+05  0.5172928757E+02  0.1539795772E+04  0.1709943358E+03  0.1223672345E+02  0.4970267859E+03  0.2504188706E+06  0.1467199623E+02
   7  0.2243691799E+05  0.8630179105E+03  0.1383759625E+02  0.2333872555E+04  0.1429916022E+01  0.5541059016E+08  0.1203467833E+05  0.2064490466E+02  0.5836223884E+03  0.7521791634E+02  0.1029663242E+02  0.4278080949E+03  0.3243756875E+06  0.1136867879E+02
   8  0.2029861353E+05  0.8761923442E+03  0.2005255960E+02  0.2726997940E+04  0.2665270080E+01  0.7668493627E+08  0.1322064967E+05  0.4017758077E+02  0.1324331551E+04  0.1406236412E+03  0.1055469320E+02  0.4750775448E+03  0.3882715490E+06  0.1333847210E+02
   9  0.2489234157E+05  0.8676539291E+03  0.1697000146E+02  0.2651459891E+04  0.2382002603E+01  0.9395744120E+08  0.1268651917E+05  0.3902899102E+02  0.9465334290E+03  0.1259209914E+03  0.1452382470E+02  0.4644517751E+03  0.1232698564E+06  0.1459224003E+02
