 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2324555929E+05  0.8590653753E+03  0.1698269930E+02  0.2262684431E+04  0.1263275110E+01  0.3796252524E+08  0.1266821847E+05  0.6676127395E+02  0.1265595420E+04  0.6643853538E+02  0.1006158186E+02  0.4214725881E+03  0.3497698827E+06  0.1139803562E+02
   2  0.2232199626E+05  0.8368897365E+03  0.1646057397E+02  0.2509157878E+04  0.1910354377E+01  0.6948593390E+08  0.1258256815E+05  0.1228019552E+03  0.2085839950E+04  0.1007729170E+03  0.1132875278E+02  0.4462913139E+03  0.2812023213E+06  0.1303282194E+02
   3  0.2224284135E+05  0.8573067534E+03  0.1406306322E+02  0.2680677766E+04  0.2488745189E+01  0.1261503160E+09  0.1210372129E+05  0.1867006111E+03  0.2744241413E+04  0.1315356093E+03  0.1351941640E+02  0.4685282318E+03  0.1753571505E+06  0.1473404873E+02
   4  0.2057531362E+05  0.8735237746E+03  0.1539282882E+02  0.2386095809E+04  0.1562260659E+01  0.5246372323E+08  0.1236063112E+05  0.8278755760E+02  0.1783073331E+04  0.8216359978E+02  0.9327417916E+01  0.4328395050E+03  0.4970877813E+06  0.1168366767E+02
   5  0.2486847882E+05  0.8508350511E+03  0.1376448808E+02  0.2352001795E+04  0.1474866054E+01  0.6674481275E+08  0.1202915378E+05  0.9395165899E+02  0.1384760507E+04  0.7779379246E+02  0.1252336689E+02  0.4296807747E+03  0.1795928614E+06  0.1272281327E+02
   6  0.2188623067E+05  0.8600890226E+03  0.2243799280E+02  0.2792274205E+04  0.2929774817E+01  0.8525439641E+08  0.1360644934E+05  0.2225711596E+03  0.3521315580E+04  0.1548773725E+03  0.1222731801E+02  0.4854009055E+03  0.2599352906E+06  0.1466454234E+02
   7  0.2242603998E+05  0.8693018732E+03  0.1381528514E+02  0.2277140059E+04  0.1295868575E+01  0.5025340131E+08  0.1202973530E+05  0.6826727849E+02  0.1327879125E+04  0.6815281885E+02  0.9812227088E+01  0.4227117638E+03  0.3846877090E+06  0.1136530918E+02
   8  0.2029173788E+05  0.8826143955E+03  0.2003038492E+02  0.2660524057E+04  0.2414742054E+01  0.6952471243E+08  0.1321694476E+05  0.1564261651E+03  0.3022746478E+04  0.1273796322E+03  0.1036266702E+02  0.4655240694E+03  0.4200437201E+06  0.1333283778E+02
   9  0.2488504402E+05  0.8742571307E+03  0.1694991168E+02  0.2586735514E+04  0.2157794529E+01  0.8516680443E+08  0.1268271820E+05  0.1622814140E+03  0.2162696803E+04  0.1140455608E+03  0.1445338238E+02  0.4558854901E+03  0.1315488359E+06  0.1458514626E+02
