 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2354242501E+05  0.8347844647E+03  0.1696318244E+02  0.2372662642E+04  0.1527375970E+01  0.4605895647E+08  0.1266495726E+05  0.3651223707E+02  0.7749234143E+03  0.8035286871E+02  0.1171862610E+02  0.4315014829E+03  0.1840721484E+06  0.1126683157E+02
   2  0.2288808604E+05  0.8661438153E+03  0.1644970928E+02  0.2631574312E+04  0.2311343740E+01  0.8429705225E+08  0.1258035841E+05  0.6248973976E+02  0.1276488376E+04  0.1219693221E+03  0.1294536203E+02  0.4615689929E+03  0.1551602411E+06  0.1288072240E+02
   3  0.2276129886E+05  0.8754052682E+03  0.1402421179E+02  0.2811421139E+04  0.3010964315E+01  0.1531659196E+09  0.1209508264E+05  0.9067392351E+02  0.1681931046E+04  0.1591977791E+03  0.1514727413E+02  0.4884662153E+03  0.1011821053E+06  0.1456341725E+02
   4  0.2086255137E+05  0.8486107648E+03  0.1537907526E+02  0.2502098407E+04  0.1888945947E+01  0.6368184037E+08  0.1235829700E+05  0.4462892638E+02  0.1092615166E+04  0.9937540649E+02  0.1081671782E+02  0.4452450938E+03  0.2662645769E+06  0.1155272716E+02
   5  0.2542354687E+05  0.8743629894E+03  0.1370105796E+02  0.2466549174E+04  0.1783861355E+01  0.8099349333E+08  0.1201489706E+05  0.4859356030E+02  0.8487832729E+03  0.9412810320E+02  0.1500703090E+02  0.4414539648E+03  0.8474994953E+05  0.1284652299E+02
   6  0.2218094739E+05  0.8363123973E+03  0.2239166118E+02  0.2929660187E+04  0.3550348470E+01  0.1034914919E+09  0.1359958636E+05  0.1070613177E+03  0.2159447678E+04  0.1877581137E+03  0.1464050560E+02  0.5091007978E+03  0.1219972841E+06  0.1498670090E+02
   7  0.2271331373E+05  0.8441943583E+03  0.1379578732E+02  0.2387864637E+04  0.1566898268E+01  0.6101058075E+08  0.1202526474E+05  0.3726253921E+02  0.8114859241E+03  0.8243216242E+02  0.1142709354E+02  0.4330037537E+03  0.2027769717E+06  0.1123183828E+02
   8  0.2058195135E+05  0.8581084097E+03  0.2001075681E+02  0.2790251919E+04  0.2921296556E+01  0.8439522244E+08  0.1321359425E+05  0.7850021617E+02  0.1852894533E+04  0.1541563205E+03  0.1178722074E+02  0.4848238071E+03  0.2362487182E+06  0.1318057450E+02
   9  0.2517156126E+05  0.8491131029E+03  0.1688160678E+02  0.2712858088E+04  0.2610419401E+01  0.1033813772E+09  0.1266966712E+05  0.7940273877E+02  0.1327056087E+04  0.1380218326E+03  0.1624471404E+02  0.4731667860E+03  0.7486412560E+05  0.1441832673E+02
