 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2408075148E+05  0.8901928440E+03  0.1692387684E+02  0.2232227031E+04  0.1196617737E+01  0.3621237309E+08  0.1265741382E+05  0.7585825550E+02  0.3303874671E+03  0.6290990364E+02  0.1088043781E+02  0.4189219045E+03  0.2455068003E+06  0.1115649073E+02
   2  0.2310200528E+05  0.8567731854E+03  0.1640114030E+02  0.2475890533E+04  0.1811038745E+01  0.6635374551E+08  0.1257084749E+05  0.1393468523E+03  0.5420367508E+03  0.9550825410E+02  0.1294193100E+02  0.4424857342E+03  0.1666395162E+06  0.1309878062E+02
   3  0.2295671299E+05  0.8641417756E+03  0.1395419409E+02  0.2645000827E+04  0.2358876661E+01  0.1205668749E+09  0.1207963311E+05  0.2117489818E+03  0.7096218602E+03  0.1246725111E+03  0.1519777955E+02  0.4635672177E+03  0.1092715462E+06  0.1469859630E+02
   4  0.2107352019E+05  0.8393149809E+03  0.1533547643E+02  0.2354003840E+04  0.1479894146E+01  0.5014460118E+08  0.1234928470E+05  0.9392798935E+02  0.4659057135E+03  0.7780332658E+02  0.1008855564E+02  0.4296876665E+03  0.3489881474E+06  0.1144215661E+02
   5  0.2563181219E+05  0.8642133949E+03  0.1361846730E+02  0.2320487748E+04  0.1397394738E+01  0.6376347352E+08  0.1199692721E+05  0.1065215751E+03  0.3602191754E+03  0.7368902239E+02  0.1415867660E+02  0.4267136276E+03  0.1098627499E+06  0.1272146466E+02
   6  0.2267866670E+05  0.8886433614E+03  0.2236429057E+02  0.2757094560E+04  0.2784893745E+01  0.8137716769E+08  0.1359533648E+05  0.2527660462E+03  0.9123619987E+03  0.1471902012E+03  0.1416258306E+02  0.4798442073E+03  0.1477731105E+06  0.1484387754E+02
   7  0.2321988176E+05  0.8901011204E+03  0.1373473162E+02  0.2246559436E+04  0.1227647367E+01  0.4800112120E+08  0.1201157346E+05  0.7735777775E+02  0.3463918689E+03  0.6454125044E+02  0.1118718597E+02  0.4201011291E+03  0.2290780887E+06  0.1140483430E+02
   8  0.2080020160E+05  0.8493825650E+03  0.1994548916E+02  0.2625106039E+04  0.2288702738E+01  0.6642371070E+08  0.1320260848E+05  0.1776042418E+03  0.7853469223E+03  0.1206986350E+03  0.1119983410E+02  0.4606946877E+03  0.2954283048E+06  0.1304964640E+02
   9  0.2564659107E+05  0.8907871061E+03  0.1678445513E+02  0.2552693161E+04  0.2046427879E+01  0.8129722598E+08  0.1265150293E+05  0.1842131703E+03  0.5599758056E+03  0.1081660122E+03  0.1558721629E+02  0.4516354381E+03  0.9328332773E+05  0.1427314052E+02
