 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2352496294E+05  0.8471041914E+03  0.1691456859E+02  0.2245047941E+04  0.1224346833E+01  0.3698131431E+08  0.1265571252E+05  0.2584728995E+02  0.3402129553E+03  0.6437773354E+02  0.9865399792E+01  0.4199829304E+03  0.3659815490E+06  0.1125821776E+02
   2  0.2287637938E+05  0.8785110046E+03  0.1641283417E+02  0.2489704980E+04  0.1851797683E+01  0.6763745786E+08  0.1257320045E+05  0.4424685489E+02  0.5568981294E+03  0.9766879154E+02  0.1089985462E+02  0.4440474861E+03  0.3081714034E+06  0.1286744716E+02
   3  0.2274937383E+05  0.8876532846E+03  0.1399009823E+02  0.2659622163E+04  0.2411469412E+01  0.1228389071E+09  0.1208762232E+05  0.6420346531E+02  0.7296441019E+03  0.1274353521E+03  0.1275392590E+02  0.4655643468E+03  0.2009071880E+06  0.1454595100E+02
   4  0.2084622093E+05  0.8607233095E+03  0.1533255364E+02  0.2367498193E+04  0.1514121092E+01  0.5112779273E+08  0.1234877306E+05  0.3159555074E+02  0.4793762193E+03  0.7961513590E+02  0.9106484309E+01  0.4309973391E+03  0.5293011593E+06  0.1154367366E+02
   5  0.2540965476E+05  0.8866430992E+03  0.1365588047E+02  0.2333583939E+04  0.1429208836E+01  0.6498847306E+08  0.1200482458E+05  0.3439862495E+02  0.3703909359E+03  0.7537546958E+02  0.1263561167E+02  0.4279326817E+03  0.1683474822E+06  0.1283386684E+02
   6  0.2217278218E+05  0.8492402368E+03  0.2235594795E+02  0.2771577814E+04  0.2843873599E+01  0.8300155368E+08  0.1359410116E+05  0.7581589925E+02  0.9355778346E+03  0.1503195093E+03  0.1232854688E+02  0.4821062384E+03  0.2421607895E+06  0.1496969214E+02
   7  0.2269515704E+05  0.8563533930E+03  0.1374930319E+02  0.2259432847E+04  0.1256029203E+01  0.4898465555E+08  0.1201493291E+05  0.2638135936E+02  0.3563760424E+03  0.6604369587E+02  0.9619748656E+01  0.4211871770E+03  0.4031995004E+06  0.1122310593E+02
   8  0.2057201301E+05  0.8705381990E+03  0.1996415711E+02  0.2639794879E+04  0.2340360249E+01  0.6771479374E+08  0.1320579137E+05  0.5557754210E+02  0.8076299481E+03  0.1234367662E+03  0.9925182196E+01  0.4626739552E+03  0.4691324155E+06  0.1316690379E+02
   9  0.2516059613E+05  0.8618960269E+03  0.1683823754E+02  0.2566379326E+04  0.2090669468E+01  0.8291370023E+08  0.1266142320E+05  0.5621828465E+02  0.5757459012E+03  0.1104840910E+03  0.1367860544E+02  0.4533110694E+03  0.1486280241E+06  0.1440139397E+02
