 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2197767679E+05  0.8285630751E+03  0.1725633811E+02  0.2382861518E+04  0.1553807450E+01  0.4587821084E+08  0.1271961747E+05  0.8641077402E+02  0.2738297651E+03  0.8174248535E+02  0.1227337914E+02  0.4325234740E+03  0.1575217956E+06  0.1152723248E+02
   2  0.2138130091E+05  0.8708821149E+03  0.1671592572E+02  0.2643260128E+04  0.2352673196E+01  0.8392878592E+08  0.1263119949E+05  0.1572810500E+03  0.4487338811E+03  0.1241008855E+03  0.1383444324E+02  0.4631363642E+03  0.1251526548E+06  0.1325541408E+02
   3  0.2113097477E+05  0.8537155186E+03  0.1427603925E+02  0.2824783762E+04  0.3068617919E+01  0.1524452819E+09  0.1214997682E+05  0.2389102363E+03  0.5881093423E+03  0.1622147081E+03  0.1598121636E+02  0.4906816506E+03  0.8556822069E+05  0.1481909684E+02
   4  0.1934694419E+05  0.8494799172E+03  0.1566424801E+02  0.2513088529E+04  0.1922352982E+01  0.6332062711E+08  0.1241552717E+05  0.1068077149E+03  0.3862858063E+03  0.1011263058E+03  0.1074223053E+02  0.4465323781E+03  0.2674974286E+06  0.1148036107E+02
   5  0.2395406369E+05  0.8892568356E+03  0.1413918495E+02  0.2479023417E+04  0.1820222597E+01  0.8055188885E+08  0.1211139526E+05  0.1208847146E+03  0.2992059754E+03  0.9602472658E+02  0.1549709183E+02  0.4428454097E+03  0.7659900198E+05  0.1301274428E+02
   6  0.2063289940E+05  0.8293120888E+03  0.2269761365E+02  0.2940462506E+04  0.3603002543E+01  0.1032602186E+09  0.1364596178E+05  0.2833872332E+03  0.7510228607E+03  0.1904438153E+03  0.1461935516E+02  0.5110831426E+03  0.1225298472E+06  0.1481914812E+02
   7  0.2121444667E+05  0.8505706405E+03  0.1406471196E+02  0.2399937869E+04  0.1598828861E+01  0.6059559791E+08  0.1208450458E+05  0.8841529641E+02  0.2881430563E+03  0.8408021788E+02  0.1212366511E+02  0.4342129795E+03  0.1666243309E+06  0.1156974091E+02
   8  0.1903689774E+05  0.8515239379E+03  0.2029800594E+02  0.2801666272E+04  0.2969392397E+01  0.8409632170E+08  0.1326130046E+05  0.1994763964E+03  0.6484576677E+03  0.1566766141E+03  0.1244609306E+02  0.4866792081E+03  0.1968559118E+06  0.1345250587E+02
   9  0.2368284887E+05  0.8578735320E+03  0.1734389520E+02  0.2724338451E+04  0.2654888124E+01  0.1031438799E+09  0.1275659660E+05  0.2073781699E+03  0.4625675176E+03  0.1403292612E+03  0.1676527751E+02  0.4748647930E+03  0.6800342505E+05  0.1452108644E+02
