 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2315323702E+05  0.8507338923E+03  0.1707709027E+02  0.2398535499E+04  0.1595095120E+01  0.4777372070E+08  0.1268613230E+05  0.8910378503E+02  0.8710955973E+03  0.8393970529E+02  0.1157010125E+02  0.4340929398E+03  0.2021772721E+06  0.1146176253E+02
   2  0.2250488688E+05  0.8834912347E+03  0.1653455712E+02  0.2660193983E+04  0.2413543952E+01  0.8744445163E+08  0.1259645939E+05  0.1638170928E+03  0.1437717466E+04  0.1273734100E+03  0.1303152365E+02  0.4654733973E+03  0.1624695947E+06  0.1311136358E+02
   3  0.2215808727E+05  0.8496016845E+03  0.1412134914E+02  0.2842779763E+04  0.3147565998E+01  0.1589424123E+09  0.1211647221E+05  0.2492852305E+03  0.1891980977E+04  0.1664125949E+03  0.1556572695E+02  0.4936788542E+03  0.1009857616E+06  0.1482558204E+02
   4  0.2048500593E+05  0.8657998299E+03  0.1548180473E+02  0.2529380194E+04  0.1972688163E+01  0.6601713740E+08  0.1237881872E+05  0.1103792160E+03  0.1227106697E+04  0.1038109800E+03  0.1009034803E+02  0.4484497555E+03  0.3474161977E+06  0.1141620853E+02
   5  0.2505043569E+05  0.8931821534E+03  0.1384761309E+02  0.2494264889E+04  0.1865401311E+01  0.8399232864E+08  0.1204761736E+05  0.1254192163E+03  0.9557750151E+03  0.9842146291E+02  0.1440768003E+02  0.4445558782E+03  0.1037252315E+06  0.1280075446E+02
   6  0.2178122790E+05  0.8506556304E+03  0.2251989265E+02  0.2961211171E+04  0.3705778870E+01  0.1074409935E+09  0.1361900479E+05  0.2967809440E+03  0.2428691769E+04  0.1959386742E+03  0.1407453961E+02  0.5150111785E+03  0.1498923920E+06  0.1475821750E+02
   7  0.2233830376E+05  0.8615903314E+03  0.1388444924E+02  0.2414494466E+04  0.1637973389E+01  0.6322802015E+08  0.1204509826E+05  0.9104966911E+02  0.9146466406E+03  0.8615302437E+02  0.1128476902E+02  0.4356920427E+03  0.2222963676E+06  0.1143011500E+02
   8  0.2019107636E+05  0.8742396096E+03  0.2009702387E+02  0.2820661273E+04  0.3050743734E+01  0.8756467894E+08  0.1322809766E+05  0.2087468456E+03  0.2081580352E+04  0.1610217010E+03  0.1191934324E+02  0.4897839822E+03  0.2427189571E+06  0.1341199176E+02
   9  0.2478710815E+05  0.8656158021E+03  0.1703199239E+02  0.2742715344E+04  0.2727249867E+01  0.1073308666E+09  0.1269826851E+05  0.2165406652E+03  0.1491528064E+04  0.1442237442E+03  0.1663595502E+02  0.4776476109E+03  0.7583756298E+05  0.1467448188E+02
