 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2328951369E+05  0.8571608293E+03  0.1696852733E+02  0.2259940318E+04  0.1257158005E+01  0.3780627513E+08  0.1266551305E+05  0.7824918231E+02  0.3952839729E+03  0.6611469266E+02  0.1091088162E+02  0.4212384973E+03  0.2520066406E+06  0.1137616417E+02
   2  0.2264489839E+05  0.8893681516E+03  0.1645421152E+02  0.2506129100E+04  0.1901147191E+01  0.6914862041E+08  0.1258131838E+05  0.1439176926E+03  0.6477754472E+03  0.1002848241E+03  0.1228141471E+02  0.4459384942E+03  0.2028135757E+06  0.1300692752E+02
   3  0.2228251868E+05  0.8550692416E+03  0.1405246576E+02  0.2677400883E+04  0.2476598432E+01  0.1256307912E+09  0.1210138509E+05  0.2187353651E+03  0.8480552924E+03  0.1308910868E+03  0.1464999914E+02  0.4680623365E+03  0.1266869579E+06  0.1470461675E+02
   4  0.2061794480E+05  0.8714790508E+03  0.1537918098E+02  0.2383201944E+04  0.1554695574E+01  0.5225097784E+08  0.1235782297E+05  0.9705442572E+02  0.5565203463E+03  0.8176309539E+02  0.1011451499E+02  0.4325499990E+03  0.3582123410E+06  0.1166177788E+02
   5  0.2491080821E+05  0.8488388388E+03  0.1374835024E+02  0.2349122062E+04  0.1467656150E+01  0.6647153258E+08  0.1202554680E+05  0.1100726775E+03  0.4306882153E+03  0.7741363909E+02  0.1357629346E+02  0.4294059795E+03  0.1295261703E+06  0.1269700575E+02
   6  0.2193135615E+05  0.8583598376E+03  0.2242354302E+02  0.2789053831E+04  0.2916282361E+01  0.8489533437E+08  0.1360422548E+05  0.2607897311E+03  0.1087533441E+04  0.1541614560E+03  0.1325097691E+02  0.4848834029E+03  0.1877067363E+06  0.1463443787E+02
   7  0.2246838629E+05  0.8672378082E+03  0.1380590306E+02  0.2274385305E+04  0.1289609273E+01  0.5005140091E+08  0.1202763182E+05  0.8001874052E+02  0.4147305548E+03  0.6782143423E+02  0.1064008288E+02  0.4224722213E+03  0.2771855893E+06  0.1134306149E+02
   8  0.2033586129E+05  0.8806882374E+03  0.2002134991E+02  0.2657295627E+04  0.2403042635E+01  0.6923628763E+08  0.1321542340E+05  0.1832702066E+03  0.9379772489E+03  0.1267594453E+03  0.1123405313E+02  0.4650757652E+03  0.3029768288E+06  0.1330685298E+02
   9  0.2492842540E+05  0.8722892609E+03  0.1693341463E+02  0.2583566831E+04  0.2147240973E+01  0.8480781182E+08  0.1267957817E+05  0.1901156424E+03  0.6688441608E+03  0.1134856053E+03  0.1566375752E+02  0.4554807244E+03  0.9500132090E+05  0.1455638668E+02
