 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2420734970E+05  0.8898113052E+03  0.1686904785E+02  0.2277956193E+04  0.1297727347E+01  0.3941316202E+08  0.1264692303E+05  0.4919331715E+02  0.9747702681E+03  0.6827369714E+02  0.1110036070E+02  0.4227894299E+03  0.2313509520E+06  0.1143580930E+02
   2  0.2322835648E+05  0.8570762874E+03  0.1634707574E+02  0.2526441501E+04  0.1963536468E+01  0.7219355006E+08  0.1256027497E+05  0.8950062402E+02  0.1610830234E+04  0.1036021000E+03  0.1225962226E+02  0.4483216623E+03  0.1959028212E+06  0.1301493615E+02
   3  0.2307122346E+05  0.8632511945E+03  0.1388587091E+02  0.2699193905E+04  0.2558222549E+01  0.1311512747E+09  0.1206503391E+05  0.1358753614E+03  0.2121169548E+04  0.1352262007E+03  0.1426682839E+02  0.4711767541E+03  0.1308497738E+06  0.1460083510E+02
   4  0.2119583310E+05  0.8395403054E+03  0.1527954072E+02  0.2402045609E+04  0.1604452935E+01  0.5458602751E+08  0.1233775104E+05  0.6068807547E+02  0.1373411280E+04  0.8440710909E+02  0.9637847842E+01  0.4344492274E+03  0.4046383531E+06  0.1136872336E+02
   5  0.2575346405E+05  0.8640164574E+03  0.1355365483E+02  0.2367822031E+04  0.1514949697E+01  0.6938283647E+08  0.1198232634E+05  0.6859189153E+02  0.1067758302E+04  0.7992231851E+02  0.1344468044E+02  0.4312080190E+03  0.1280439789E+06  0.1263716277E+02
   6  0.2281347146E+05  0.8891517516E+03  0.2232065388E+02  0.2813476221E+04  0.3019777746E+01  0.8849613350E+08  0.1358859903E+05  0.1619518725E+03  0.2731641399E+04  0.1596257379E+03  0.1328395065E+02  0.4888105728E+03  0.1776260359E+06  0.1474637495E+02
   7  0.2334109927E+05  0.8893053824E+03  0.1368321098E+02  0.2292293509E+04  0.1330708352E+01  0.5225885166E+08  0.1200066923E+05  0.5016212940E+02  0.1021791656E+04  0.6998095728E+02  0.1069563781E+02  0.4240232859E+03  0.2643923212E+06  0.1133381756E+02
   8  0.2093012235E+05  0.8500984056E+03  0.1987514305E+02  0.2678991342E+04  0.2482488381E+01  0.7226435629E+08  0.1319076166E+05  0.1138428003E+03  0.2333693635E+04  0.1309964014E+03  0.1134187209E+02  0.4681198307E+03  0.2827548521E+06  0.1340427524E+02
   9  0.2577463925E+05  0.8906919638E+03  0.1672244795E+02  0.2605160842E+04  0.2219934454E+01  0.8840736203E+08  0.1263961040E+05  0.1183589038E+03  0.1675096793E+04  0.1173525932E+03  0.1542269240E+02  0.4582592977E+03  0.9468230799E+05  0.1452386139E+02
