 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2486553473E+05  0.8554303918E+03  0.1666682343E+02  0.2183648978E+04  0.1095805035E+01  0.3364178970E+08  0.1260794799E+05  0.7013107859E+02  0.7529751858E+03  0.5761159696E+02  0.1144876238E+02  0.4150920053E+03  0.1988446300E+06  0.1111818967E+02
   2  0.2415755002E+05  0.8769503099E+03  0.1614866033E+02  0.2421391348E+04  0.1656768885E+01  0.6158493965E+08  0.1252118041E+05  0.1287431758E+03  0.1241885524E+04  0.8739728810E+02  0.1345688362E+02  0.4366226945E+03  0.1400034438E+06  0.1297854784E+02
   3  0.2391857612E+05  0.8682460982E+03  0.1368054196E+02  0.2586720676E+04  0.2157745017E+01  0.1119505750E+09  0.1201970576E+05  0.1955482727E+03  0.1631773130E+04  0.1140263375E+03  0.1552704578E+02  0.4558715944E+03  0.9703121352E+05  0.1445031776E+02
   4  0.2214230770E+05  0.8630048878E+03  0.1514653014E+02  0.2302214723E+04  0.1353895960E+01  0.4658575551E+08  0.1231065256E+05  0.8674701504E+02  0.1060770759E+04  0.7117723676E+02  0.1055680388E+02  0.4248979747E+03  0.2874033541E+06  0.1136968275E+02
   5  0.2665980342E+05  0.8765399925E+03  0.1333618740E+02  0.2268906295E+04  0.1277227394E+01  0.5921795030E+08  0.1193341729E+05  0.9856223129E+02  0.8217893439E+03  0.6736363551E+02  0.1522114593E+02  0.4221412999E+03  0.8312337314E+05  0.1279571203E+02
   6  0.2348500423E+05  0.8571297645E+03  0.2211898381E+02  0.2697815573E+04  0.2553001171E+01  0.7546972062E+08  0.1355733194E+05  0.2340528160E+03  0.2106255517E+04  0.1349372496E+03  0.1490442034E+02  0.4709871192E+03  0.1197500378E+06  0.1480063033E+02
   7  0.2397649650E+05  0.8532802176E+03  0.1355123404E+02  0.2196385887E+04  0.1121596287E+01  0.4467132824E+08  0.1197073409E+05  0.7140807697E+02  0.7875409494E+03  0.5896364223E+02  0.1161087213E+02  0.4160693359E+03  0.1934468469E+06  0.1128667293E+02
   8  0.2188702084E+05  0.8796370708E+03  0.1976595882E+02  0.2568574315E+04  0.2097831133E+01  0.6162013824E+08  0.1317259451E+05  0.1642883906E+03  0.1803250382E+04  0.1106382060E+03  0.1182462457E+02  0.4534224720E+03  0.2369609797E+06  0.1303020674E+02
   9  0.2642273910E+05  0.8560811262E+03  0.1648719084E+02  0.2497371234E+04  0.1874711332E+01  0.7538038876E+08  0.1259453930E+05  0.1709323323E+03  0.1290939989E+04  0.9908197189E+02  0.1694128825E+02  0.4450690084E+03  0.6835809874E+05  0.1444429152E+02
